Keyword Topic,Video Title,Competitor video URL,YouTube Status,Thumbnail Status,Target Month,Clients,Video Type,Related blog embeds,Thumbnail #1,Thumbnail #2,Thumbnail #3,Script (G-Doc URL),Notes,YouTube Strategist,YouTube Host,Thumbnail Editor,Video Editor,YouTube Scripter,Script Title,YouTube Status Approvals,YouTube Status Approval,Thumbnail Approvals,Thumbnail Approval
inventory turnover ratio ,,https://www.youtube.com/watch?v=950ieZFViPo,,,,,Authority info,inventory turnover ratio calculator,,,,, competitor video has 50k views. Videos are in organic Google results,,,,,,,,,,
retail store marketing ,,https://www.youtube.com/watch?v=6rLoH7dkW24 ,Idea Awaiting Client Approval,,,,Listicle (info tips),retail marketing strategies,,,,,Competitor Video: listicle (X tips) style competitor video - 85k views,,,,,,,Awaiting Approval,Awaiting Approval,,
Best POS Systems,The X Best Retail POS Systems of 2025: THE #1 Choice is.. 🏆,https://www.youtube.com/watch?v=jS_HMUozrIs,Script Awaiting Client Depth,Thumbnail To Review By Client,June 2025,Default,Best X,"best pos system,best pos small business",,,,https://docs.google.com/document/d/13t9BHEeujDJKwbZYx4O-1QfrmnLBYU9ef9q2zWU-Up4/edit?usp=sharing,Competitor Video - competitor video has 102k views with only 2.7k subscribers! Many videos with 50k+ views. Very important video to create.,Team,,,,,,Awaiting Approval,Awaiting Approval,Awaiting Approval,Awaiting Approval
clover vs square,,https://www.youtube.com/watch?v=lW-8pe0l8ws ,Script Awaiting Client Depth,Thumbnail To Create (External),June 2025,,Vs,square vs clover,,,,https://docs.google.com/document/d/1mSvexU9dBE0NN0LWaPsKvdvpJYGXqFJpV3H2dIFT8vo/edit?usp=sharing,Competitor Video- 42k views with only 479 subs. Important video! (and offer Korona as alternative),,,,,,,Awaiting Approval,Awaiting Approval,Awaiting Approval,Awaiting Approval
how to start a retail business,,https://www.youtube.com/watch?v=R6gLmICiL6o ,Idea Awaiting Client Approval,,,,How to,how to start a retail business,,,,,Competitor Video- 45k views,,,,,,,Awaiting Approval,Awaiting Approval,,
best pos for small business,,https://www.youtube.com/watch?v=ZLSmaer0-aQ,Idea Awaiting Client Approval,,,,Best X,best pos small business,,,,,Competitor Video - 65k views with 6.7k subs,,,,,,,Awaiting Approval,Awaiting Approval,,
how to start a liquor store,,https://www.youtube.com/watch?v=Zecl8DqJCfM&pp=ygUbaG93IHRvIHN0YXJ0IGEgbGlxdW9yIHN0b3Jl,Idea Awaiting Client Approval,,,,How to,how to start a liquor store,,,,,Competitor Video - almost 10k views in 1 year. Very basic video,,,,,,,Awaiting Approval,Awaiting Approval,,
retail inventory management ,,https://www.youtube.com/watch?v=0NOER-Lle-0&pp=ygUbcmV0YWlsIGludmVudG9yeSBtYW5hZ2VtZW50,Idea Awaiting Client Approval,,,,How to,retail inventory management,,,,,"Competitor Video - 128k views 
Video topic/title ideas: (guide/what is/how it works)",,,,,,,Awaiting Approval,Awaiting Approval,,
best inventory management software,,https://www.youtube.com/watch?v=C3jgI_IBHy8,,,,,Best X,"best inventory management software,what is inventory management software",,,,,Competitor Video - 1.5k views in a month - 3k subs,,,,,,,,,,
inventory management template,,https://www.youtube.com/watch?v=GYChuAor3Zk,,,,,Template,how to create an inventory spreadsheet,,,,,"Competitor Video - 266k views in a year (60k subs)
Video topic/title ideas: (Excel templates)",,,,,,,,,,
free pos systems,,https://www.youtube.com/watch?v=ZbwytnwVbAk,,,,,Best X,,,,,,"Competitor Video - 67k views 
Video topic/title ideas: (best free pos systems)
(I know you have a vid on this but could be better structured...list the free systems and then educate on pitfalls - mention in the hook they'll want to watch until the end for why it may be a bad idea!)",,,,,,,,,,
thrift store pos ,,,,,,,Best X,best pos thrift store,,,,,"all videos are from 2+ years ago. Potential gap for new videos or ""best x type video""",,,,,,,,,,
how to greet customers in retail,,https://www.youtube.com/watch?v=U8vwLb9Z_LA&t=4s,Idea Awaiting Client Approval,,,,How to,"how to deal with difficult customers in retail,types of customers in retail",,,,,"Competitor Video - 288k views, seems a popular topic and can show retail expertise ",,,,,,,Awaiting Approval,Awaiting Approval,,
retail loss prevention,,https://www.youtube.com/watch?v=T5XjoMMtVY8 ,Idea Awaiting Client Approval,,,,How to,rfid security,,,,,Competitor Video- 28k views (most videos from 2+ years ago...potential gap and opportunity to increase authority/display expertise),,,,,,,Awaiting Approval,Awaiting Approval,,
Merchant account fees and pricing ,,https://www.youtube.com/watch?v=fqwhrY-eO_0,,,,,How to,lower merchant fees,,,,, Competitor Video- 4.8k views in a year (1.8k subs) : Video topic/title ideas: (how to lower them),,,,,,,,,,
What is a payment gateway,,https://www.youtube.com/watch?v=09c53GczCaI ,,,,,How to,"what is a payment gateway,payment gateway vs payment processor",,,,,Competitor Video- 22k views (1.8k subs) : Video topic/title ideas: (how it works/explained),,,,,,,,,,
Square deactivated and holding funds,,https://www.youtube.com/watch?v=AZ-8TSIMZA4,,,,,How to,,,,,,Competitor Video - 5k views (1.8k subs) helpful info & segue into Korona POS and choosing your own processor ,,,,,,,,,,
Retail business SOPs ,,https://www.youtube.com/watch?v=F33r4longwc&t=27s,,,,,How to,retail management process,,,,,"Competitor Video - 65k views in 8 months! (subject matter expert content) 
Video topic/title ideas: (why they're important)",,,,,,,,,,
how to start a furniture store business,,https://www.youtube.com/watch?v=q5tDEFI986E ,Idea Awaiting Client Approval,,,,How to,how to open furniture store,,,,,Competitor Video- 61k views in 1 year.,,,,,,,Awaiting Approval,Awaiting Approval,,
"what is going on with ""X retail store""",,https://www.youtube.com/watch?v=APe2Pts6D7E&pp=0gcJCY0JAYcqIYzv,Idea Awaiting Client Approval,,,,Brand-Jacking,,,,,,"Competitor Video - 517k views (multiple videos around latest news, trends etc where you can add your expert thoughts to build authority)",,,,,,,Awaiting Approval,Awaiting Approval,,
retail trends 2025,,https://www.youtube.com/watch?v=509HoSw1fA0&pp=ygUNcmV0YWlsIHRyZW5kcw%3D%3D,,,,,News/Trends,retail trends,,,,,"Competitor Video - 14k views in 4 months (trends where you can add your unique expert thoughts to build authority)
Video topic/title ideas: (start thinking about ""2026"" trends)",,,,,,,,,,
cheapest credit card processing,,https://www.youtube.com/watch?v=ZBDrrULu1z8,Idea Awaiting Client Approval,,,,Best X,what is the best credit card processing for small business,,,,,Competitor Video - 19k views (2.7k subs) - opportunity to promote Korona as POS agnostic etc,,,,,,,Awaiting Approval,Awaiting Approval,,
best pos for coffee shops,,https://www.youtube.com/watch?v=zoM5vsWdxgM,Idea Awaiting Client Approval,,,,Best X,best pos system for coffee shop,,,,,Competitor Video - 19k views (2.7k subs),,,,,,,Awaiting Approval,Awaiting Approval,,
clover pos review,,https://www.youtube.com/watch?v=K6lfe0GGfXs,,,,,Review,"clover pos alternatives,clover pos outage,clover pos pricing",,,,,Competitor Video - 25k views in a year (BOFU),,,,,,,,,,
shopify vs square,,https://www.youtube.com/watch?v=On_4pjmCdEI,Idea Awaiting Client Approval,,,,Vs,shopify pos vs square,,,,,Competitor Video - 135k views (BOFU),,,,,,,Awaiting Approval,Awaiting Approval,,
pos system with barcode scanner,,,,,,,Best X,best pos system with barcode scanner,,,,,not many exact matches but views for videos are high when searching for this. Opportunity to be only video that nails target intent of search query,,,,,,,,,,
retail pos software demo,,https://www.youtube.com/watch?v=inJiTDd6zzM&t=2s,,,,,Authority info,,,,,,POS Nation's most viewed videos are all POS demos!  Could be a fantastic sales tool (likely a different style of video needed vs typical youtube videos) POS Nations demo videos have between 400k-700k views!,,,,,,,,,,
